Date,Adj Close,Close,High,Low,Open,Volume,log_return,rolling_volatility,sma_ratio,rsi,cluster,regime,hmm_regime
2005-03-15,81.49745178222656,120.13999938964844,121.45999908447266,120.08000183105467,121.41999816894533,62438500,-0.018064601685302734,0.007326369012488498,1.0114397801708934,44.62021487305712,1,Bear,Sideways
2005-03-16,80.80551147460938,119.12000274658205,120.16000366210938,118.9000015258789,119.6999969482422,74874200,-0.015411179629690689,0.007489253626340539,1.0107987502680384,40.14017467095899,1,Bear,Bull
2005-03-17,80.96835327148438,119.36000061035156,119.73999786376952,118.9800033569336,119.30999755859376,62584200,-0.01562789300076742,0.0075095597990587695,1.0099354088519965,41.62531709880582,1,Bear,Sideways
2005-03-18,80.72791290283203,118.54000091552734,119.52999877929688,118.1500015258789,119.11000061035156,60232000,-0.0154860037940947,0.007451265278157708,1.0091391293015366,38.14321901831395,1,Bear,Bull
2005-03-21,80.42828369140625,118.0999984741211,118.77999877929688,117.76000213623048,118.70999908447266,61244300,-0.025415186231314165,0.00746410708609397,1.008267489676323,36.38438613862285,1,Bear,Sideways
2005-03-22,79.61105346679688,116.9000015258789,118.93000030517578,116.9000015258789,118.37000274658205,92472400,-0.02733884281080041,0.007057901787152972,1.007816147827118,32.04456920304344,1,Bear,Bull
2005-03-23,79.67915344238281,117.0,117.72000122070312,116.75,116.9499969482422,70817300,-0.017957476635267502,0.0068254386212452615,1.007128284056699,32.7642739580823,1,Bear,Sideways
2005-03-24,79.77445983886719,117.13999938964844,117.98999786376952,117.05999755859376,117.45999908447266,51932500,-0.018774346117795,0.00661133129931081,1.0060061468161927,33.82101304004675,1,Bear,Bull
2005-03-28,79.8902587890625,117.30999755859376,117.94000244140624,117.30999755859376,117.41999816894533,46765500,-0.010430481377003647,0.006113563532979914,1.0044936293011728,35.15378271467942,1,Bear,Sideways
2005-03-29,79.35908508300781,116.52999877929688,117.9000015258789,116.25,117.13999938964844,71160300,-0.013382970173357645,0.006116154206303714,1.0029602924815484,31.972208976084517,1,Bear,Bull
2005-03-30,80.48275756835938,118.18000030517578,118.1999969482422,116.7699966430664,116.77999877929688,62002100,0.010890006968945893,0.00692490778757609,1.0016932871921234,43.60059760222996,1,Bear,Sideways
2005-03-31,80.33294677734375,117.95999908447266,118.45999908447266,117.87000274658205,118.19000244140624,64575400,0.00817164138798203,0.006923565795862443,1.0006022674437396,42.556069552849316,1,Bear,Bull
2005-04-01,79.97201538085938,117.43000030517578,118.98999786376952,116.91000366210938,118.62999725341795,95255300,0.0024726185245877064,0.006945203837799505,0.9991471684401996,40.06585621319641,1,Bear,Sideways
2005-04-04,80.10820770263672,117.62999725341795,117.86000061035156,116.73999786376952,117.36000061035156,71581200,0.002724098916966105,0.006183589285016361,0.9969891779233205,41.45797398096506,1,Bear,Bull
2005-04-05,80.48954772949219,118.19000244140624,118.37999725341795,117.66999816894533,117.77999877929688,46853900,0.014144779571040624,0.006349442403008247,0.9948273665329417,45.28994476506005,1,Bear,Sideways
2005-04-06,80.76883697509766,118.5999984741211,118.9499969482422,118.18000030517578,118.4499969482422,53268200,0.0035475851980421684,0.006443468150940966,0.9929243971488889,47.97491530006249,1,Bear,Bull
2005-04-07,81.20465850830078,119.23999786376952,119.26000213623048,118.31999969482422,118.41000366210938,46734600,0.010792674708747474,0.006200145822112489,0.9918082292723492,51.93990096158658,0,Bull,Sideways
2005-04-08,80.36019897460938,118.0,119.20999908447266,118.0,119.16999816894533,63772900,0.004842210489886101,0.006522794463840807,0.9903247824648748,44.813592080793335,1,Bear,Bull
2005-04-11,80.42145538330078,118.08999633789062,118.41999816894533,117.83000183105467,118.29000091552734,44945000,0.0039029329790005525,0.006397180232815301,0.9892531763534833,45.39912552707691,1,Bear,Sideways
2005-04-12,80.83688354492188,118.6999969482422,119.05999755859376,117.06999969482422,117.88999938964844,86144800,0.004305756225012099,0.006338826155387459,0.9880223972593177,49.32388468710179,1,Bear,Bull
2005-04-13,79.88348388671875,117.3000030517578,118.8000030517578,117.12999725341795,118.55999755859376,65949000,-0.011021692021746937,0.006599742401215232,0.9869765212494462,41.88289558244552,1,Bear,Sideways
2005-04-14,78.84148406982422,115.7699966430664,117.5,115.7699966430664,117.4000015258789,96119800,-0.029532815673424966,0.00694029392428144,0.9860932279446627,35.56777208050167,1,Bear,Bull
2005-04-15,77.73823547363281,114.1500015258789,116.1999969482422,114.0999984741211,115.73999786376952,128677300,-0.0331712381225462,0.007436793397382717,0.9847567033176293,30.349755191189857,1,Bear,Sideways
2005-04-18,77.97660827636719,114.5,114.95999908447266,113.95999908447266,114.12000274658205,100035200,-0.03087219160772276,0.007441479907697364,0.9837995347996176,32.64871732442502,1,Bear,Bull
2005-04-19,78.5963363647461,115.41000366210938,115.52999877929688,114.83000183105467,115.0999984741211,64930100,-0.028108238742170537,0.007727430741477425,0.9834667255983093,38.34677261276167,1,Bear,Sideways
